WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
UAT - PO Lifecycle Dashboard_Without DLS,Archive,PO Lifecycle Dashboard,POLifecycleDashboard/POLifecycleDashboard,PO Lifecycle,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Overview,,PO Consolidated,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Overview,,PO Consolidated,DIM_TIME
PO Overview Dashboard,Procurement Dev,PO Overview,POOverviewDashboard/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard,Procurement,PO Overview,POOverviewDashboard_16941730215160/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard,Procurement,PO Overview,POOverviewDashboard_16941730215160/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard,Procurement Dev,PO Overview,POOverviewDashboard/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard - Redesign,Procurement Dev,PO Overview,POOverviewDashboard-Redesign/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard - Redesign,Procurement Dev,PO Overview,POOverviewDashboard-Redesign/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard_DEV,Archive,PO Overview,POOverviewDashboard_DEV/POOverview,PO Consolidated,DIM_TIME
PO Overview Dashboard_DEV,Archive,PO Overview,POOverviewDashboard_DEV/POOverview,PO Consolidated,DIM_TIME
PO Spend Analysis - Test,Archive,PO Overview,,PO Consolidated,DIM_TIME
PO Spend Analysis - Test,Archive,PO Overview,,PO Consolidated,DIM_TIME
UAT - PO Overview Dashboard,Procurement UAT,PO Overview,POOverviewDashboard_16922112623550/POOverview,UAT - PO Consolidated,DIM_TIME
UAT - PO Overview Dashboard,Procurement UAT,PO Overview,POOverviewDashboard_16922112623550/POOverview,PO Consolidated,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Procure To Pay,,Procure To Pay,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Procure To Pay,,Procure To Pay,DIM_TIME
PO Spend Analysis - Test,Archive,PO Procure To Pay,,Procure To Pay,DIM_TIME
PO Spend Analysis - Test,Archive,PO Procure To Pay,,Procure To Pay,DIM_TIME
Procure To Pay_DEV,Archive,PO Procure To Pay,ProcureToPay_DEV/POProcureToPay,Procure To Pay,DIM_TIME
Procure To Pay_DEV,Archive,PO Procure To Pay,ProcureToPay_DEV/POProcureToPay,Procure To Pay,DIM_TIME
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay,ProcureToPay_16922179775760/POProcureToPay,UAT - Procure To Pay,DIM_TIME
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay,ProcureToPay_16922179775760/POProcureToPay,Procure To Pay,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_TIME
PO Spend Analysis - Test,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_TIME
PO Spend Analysis - Test,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_TIME
Procure To Pay_DEV,Archive,PO Procure To Pay Details,ProcureToPay_DEV/POProcureToPayDetails,Procure To Pay,DIM_TIME
Procure To Pay_DEV,Archive,PO Procure To Pay Details,ProcureToPay_DEV/POProcureToPayDetails,Procure To Pay,DIM_TIME
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay Details,ProcureToPay_16922179775760/POProcureToPayDetails,UAT - Procure To Pay,DIM_TIME
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay Details,ProcureToPay_16922179775760/POProcureToPayDetails,Procure To Pay,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Receipt Details,,Purchase Receipt,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Receipt Details,,Purchase Receipt,DIM_TIME
PO Receipts,Procurement,PO Receipt Details,POReceipts_16941740839930/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts,Archive,PO Receipt Details,POReceipts_16941740326750/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts,Procurement Dev,PO Receipt Details,POReceipts/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts,Procurement,PO Receipt Details,POReceipts_16941740839930/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts,Procurement Dev,PO Receipt Details,POReceipts/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts,Archive,PO Receipt Details,POReceipts_16941740326750/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts_DEV,Archive,PO Receipt Details,POReceipts_DEV/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Receipts_DEV,Archive,PO Receipt Details,POReceipts_DEV/POReceiptDetails,Purchase Receipt,DIM_TIME
PO Spend Analysis - Test,Archive,PO Receipt Details,,Purchase Receipt,DIM_TIME
PO Spend Analysis - Test,Archive,PO Receipt Details,,Purchase Receipt,DIM_TIME
UAT - PO Receipts,Procurement UAT,PO Receipt Details,POReceipts_16922123636910/POReceiptDetails,UAT - Purchase Receipt,DIM_TIME
UAT - PO Receipts,Procurement UAT,PO Receipt Details,POReceipts_16922123636910/POReceiptDetails,Purchase Receipt,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Receipts,,Purchase Receipt,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Receipts,,Purchase Receipt,DIM_TIME
PO Receipts,Procurement Dev,PO Receipts,POReceipts/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts,Archive,PO Receipts,POReceipts_16941740326750/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts,Archive,PO Receipts,POReceipts_16941740326750/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts,Procurement Dev,PO Receipts,POReceipts/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts,Procurement,PO Receipts,POReceipts_16941740839930/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts,Procurement,PO Receipts,POReceipts_16941740839930/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts_DEV,Archive,PO Receipts,POReceipts_DEV/POReceipts,Purchase Receipt,DIM_TIME
PO Receipts_DEV,Archive,PO Receipts,POReceipts_DEV/POReceipts,Purchase Receipt,DIM_TIME
PO Spend Analysis - Test,Archive,PO Receipts,,Purchase Receipt,DIM_TIME
PO Spend Analysis - Test,Archive,PO Receipts,,Purchase Receipt,DIM_TIME
UAT - PO Receipts,Procurement UAT,PO Receipts,POReceipts_16922123636910/POReceipts,Purchase Receipt,DIM_TIME
UAT - PO Receipts,Procurement UAT,PO Receipts,POReceipts_16922123636910/POReceipts,UAT - Purchase Receipt,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Requisition Details,,Purchase Requisitions,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Requisition Details,,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement,PO Requisition Details,PORequisitions_16941797001280/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement,PO Requisition Details,PORequisitions_16941797001280/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions,Archive,PO Requisition Details,PORequisitions_16941796535470/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement Dev,PO Requisition Details,PORequisitions/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement Dev,PO Requisition Details,PORequisitions/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions,Archive,PO Requisition Details,PORequisitions_16941796535470/PORequisitionDetails,UAT - Purchase Requisitions,DIM_TIME
PO Requisitions - Redesign,Procurement Dev,PO Requisition Details,PORequisitions-Redesign/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions - Redesign,Procurement Dev,PO Requisition Details,PORequisitions-Redesign/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions_DEV,Archive,PO Requisition Details,PORequisitions_DEV/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Requisitions_DEV,Archive,PO Requisition Details,PORequisitions_DEV/PORequisitionDetails,Purchase Requisitions,DIM_TIME
PO Spend Analysis - Test,Archive,PO Requisition Details,,Purchase Requisitions,DIM_TIME
PO Spend Analysis - Test,Archive,PO Requisition Details,,Purchase Requisitions,DIM_TIME
UAT - PO Requisitions,Procurement UAT,PO Requisition Details,PORequisitions_16922158962630/PORequisitionDetails,UAT - Purchase Requisitions,DIM_TIME
UAT - PO Requisitions,Procurement UAT,PO Requisition Details,PORequisitions_16922158962630/PORequisitionDetails,Purchase Requisitions,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Requisitions,,Purchase Requisitions,DIM_TIME
Department Manager Dashboard - Test1,Archive,PO Requisitions,,Purchase Requisitions,DIM_TIME
PO Requisitions,Archive,PO Requisitions,PORequisitions_16941796535470/PORequisitions,UAT - Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement Dev,PO Requisitions,PORequisitions/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions,Archive,PO Requisitions,PORequisitions_16941796535470/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement Dev,PO Requisitions,PORequisitions/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement,PO Requisitions,PORequisitions_16941797001280/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions,Procurement,PO Requisitions,PORequisitions_16941797001280/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions - Redesign,Procurement Dev,PO Requisitions,PORequisitions-Redesign/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions - Redesign,Procurement Dev,PO Requisitions,PORequisitions-Redesign/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions_DEV,Archive,PO Requisitions,PORequisitions_DEV/PORequisitions,Purchase Requisitions,DIM_TIME
PO Requisitions_DEV,Archive,PO Requisitions,PORequisitions_DEV/PORequisitions,Purchase Requisitions,DIM_TIME
PO Spend Analysis - Test,Archive,PO Requisitions,,Purchase Requisitions,DIM_TIME
PO Spend Analysis - Test,Archive,PO Requisitions,,Purchase Requisitions,DIM_TIME
UAT - PO Requisitions,Procurement UAT,PO Requisitions,PORequisitions_16922158962630/PORequisitions,UAT - Purchase Requisitions,DIM_TIME
UAT - PO Requisitions,Procurement UAT,PO Requisitions,PORequisitions_16922158962630/PORequisitions,Purchase Requisitions,DIM_TIME
PO Lifecycle Dashboard,Procurement,PO Trends,POLifecycleDashboard_16966194832140/POTrends,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,PO Trends,POLifecycleDashboard_16966194832140/POTrends,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity_v2/POTrends,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,PO Trends,POLifecycleDashboard-NewSecurity/POTrends,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,PO Trends,POLifecycleDashboard-NewSecurity/POTrends,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity_v2/POTrends,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,PO Trends,POLifecycleDashboard_AllDataByCreationDate_16994576653310/POTrends,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,PO Trends,POLifecycleDashboard_AllDataByCreationDate_16994576653310/POTrends,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity/POTrends,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity/POTrends,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,Pending Receipts,POLifecycleDashboard_16966194832140/PendingReceipts,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,Pending Receipts,POLifecycleDashboard_16966194832140/PendingReceipts,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,Pending Receipts,POLifecycleDashboard-NewSecurity/PendingReceipts,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,Pending Receipts,POLifecycleDashboard-NewSecurity/PendingReceipts,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity_v2/PendingReceipts,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity_v2/PendingReceipts,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity/PendingReceipts,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity/PendingReceipts,PO Lifecycle,DIM_TIME
Performance Attainment Leaderboard,NorthStar Reports - Prod Data,Performance Attainment Leaderboard,PerformanceAttainmentLeaderboard_16869062461460/PerformanceAttainmentLeaderboard,Sales Quota Datasource,DIM_TIME
Performance Attainment Leaderboard,NorthStar Reports - Prod Data,Performance Attainment Leaderboard,PerformanceAttainmentLeaderboard_16869062461460/PerformanceAttainmentLeaderboard,NS - Sales Quota Datasource,DIM_TIME
Procurement Dashboard for Department Heads,Procurement,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941766300160/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads,Procurement Dev,Procurement Dashboard for Department Heads,DepartmentManagerDashboard/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941765887000/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads,Procurement,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941766300160/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads,Procurement Dev,Procurement Dashboard for Department Heads,DepartmentManagerDashboard/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941765887000/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads_DEV,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_DEV/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Procurement Dashboard for Department Heads_DEV,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_DEV/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_TIME
Current ARR - Active Orders,NorthStar Reports - Prod Data,Product Details,CurrentARR-ActiveOrders/ProductDetails,NS - Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders,NorthStar Reports - Prod Data,Product Details,CurrentARR-ActiveOrders/ProductDetails,Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders (Monthly Fx),NorthStar Reports - Prod Data,Product Details,CurrentARR-ActiveOrdersMonthlyFx/ProductDetails,Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders (Monthly Fx),NorthStar Reports - Prod Data,Product Details,CurrentARR-ActiveOrdersMonthlyFx/ProductDetails,NS - Order Datasource with Metrics,DIM_TIME
ARR (Avg) v/s ARR (In-Period) v/s CARR,NorthStar Reports - Prod Data,Product Details ,ARRAvgvsARRIn-PeriodvsCARR/ProductDetails,Order Datasource with Metrics,DIM_TIME
ARR (Avg) v/s ARR (In-Period) v/s CARR,NorthStar Reports - Prod Data,Product Details ,ARRAvgvsARRIn-PeriodvsCARR/ProductDetails,NS - Order Datasource with Metrics,DIM_TIME
ARR - Fair Market Value (FMV),NorthStar Reports - Prod Data,Product Details ,ARR-FairMarketValueFMV/ProductDetails,Order Datasource - FMV,DIM_TIME
ARR - Fair Market Value (FMV),NorthStar Reports - Prod Data,Product Details ,ARR-FairMarketValueFMV/ProductDetails,NS - Order Datasource - FMV,DIM_TIME
Test-ARR - Fair Market Value (FMV),Sales Dev,Product Details ,Test-ARR-FairMarketValueFMV/ProductDetails,Order Datasource - FMV,DIM_TIME
Test-ARR - Fair Market Value (FMV),Sales Dev,Product Details ,Test-ARR-FairMarketValueFMV/ProductDetails,NS - Order Datasource - FMV,DIM_TIME
Current ARR - Active Orders,NorthStar Reports - Prod Data,Product Executive Summary,CurrentARR-ActiveOrders/ProductExecutiveSummary,NS - Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders,NorthStar Reports - Prod Data,Product Executive Summary,CurrentARR-ActiveOrders/ProductExecutiveSummary,Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders (Monthly Fx),NorthStar Reports - Prod Data,Product Executive Summary,CurrentARR-ActiveOrdersMonthlyFx/ProductExecutiveSummary,Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders (Monthly Fx),NorthStar Reports - Prod Data,Product Executive Summary,CurrentARR-ActiveOrdersMonthlyFx/ProductExecutiveSummary,NS - Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders,NorthStar Reports - Prod Data,Product Penetration ,CurrentARR-ActiveOrders/ProductPenetration,NS - Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders,NorthStar Reports - Prod Data,Product Penetration ,CurrentARR-ActiveOrders/ProductPenetration,Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders (Monthly Fx),NorthStar Reports - Prod Data,Product Penetration ,CurrentARR-ActiveOrdersMonthlyFx/ProductPenetration,Order Datasource with Metrics,DIM_TIME
Current ARR - Active Orders (Monthly Fx),NorthStar Reports - Prod Data,Product Penetration ,CurrentARR-ActiveOrdersMonthlyFx/ProductPenetration,NS - Order Datasource with Metrics,DIM_TIME
Revenue Waterfall,NorthStar Reports - Prod Data,Product Revenue Waterfall,RevenueWaterfall_16887289994280/ProductRevenueWaterfall,NS - Order Datasource with Metrics,DIM_TIME
Revenue Waterfall,NorthStar Reports - Prod Data,Product Revenue Waterfall,RevenueWaterfall_16887289994280/ProductRevenueWaterfall,Order Datasource with Metrics,DIM_TIME
Department Manager Dashboard - Test1,Archive,Purchase Invoice,,Procure To Pay,DIM_TIME
Department Manager Dashboard - Test1,Archive,Purchase Invoice,,Procure To Pay,DIM_TIME
PO Spend Analysis - Test,Archive,Purchase Invoice,,Procure To Pay,DIM_TIME
PO Spend Analysis - Test,Archive,Purchase Invoice,,Procure To Pay,DIM_TIME
PO Lifecycle Dashboard,Archive,Purchase Order Counts By Status,POLifecycleDashboard_16945859705850/PurchaseOrderCountsByStatus,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard - Demo,Archive,Purchase Order Counts By Status,POLifecycleDashboard-Demo/PurchaseOrderCountsByStatus,PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard,Procurement UAT,Purchase Order Counts By Status,UAT-POLifecycleDashboard/PurchaseOrderCountsByStatus,UAT - PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard,Procurement UAT,Purchase Order Counts By Status,UAT-POLifecycleDashboard/PurchaseOrderCountsByStatus,UAT - PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard,Archive,Purchase Order Counts By Status,POLifecycleDashboard_16952185765550/PurchaseOrderCountsByStatus,PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard_New UI Version,Procurement UAT,Purchase Order Counts By Status,UAT-POLifecycleDashboard_NewUIVersion/PurchaseOrderCountsByStatus,PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard_Without DLS,Archive,Purchase Order Counts By Status,POLifecycleDashboard/PurchaseOrderCountsByStatus,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,Purchase Order Details,POLifecycleDashboard_16966194832140/PurchaseOrderDetails,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,Purchase Order Details,POLifecycleDashboard_16966194832140/PurchaseOrderDetails,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,Purchase Order Details,POLifecycleDashboard_WithSecurity_v2/PurchaseOrderDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,Purchase Order Details,POLifecycleDashboard-NewSecurity/PurchaseOrderDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,Purchase Order Details,POLifecycleDashboard-NewSecurity/PurchaseOrderDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,Purchase Order Details,POLifecycleDashboard_WithSecurity_v2/PurchaseOrderDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard_All Data,Archive,Purchase Order Details,POLifecycleDashboard_AllData/PurchaseOrderDetails,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,Purchase Order Details,POLifecycleDashboard_AllDataByCreationDate_16994576653310/PurchaseOrderDetails,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,Purchase Order Details,POLifecycleDashboard_AllDataByCreationDate_16994576653310/PurchaseOrderDetails,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,Purchase Order Details,POLifecycleDashboard_WithSecurity/PurchaseOrderDetails,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,Purchase Order Details,POLifecycleDashboard_WithSecurity/PurchaseOrderDetails,PO Lifecycle,DIM_TIME
Renewals Dashboard - Customer Success,NorthStar Reports - Prod Data,Renewals Dashboard - Customer Success,RenewalsDashboard-CustomerSuccess_16871968565820/RenewalsDashboard-CustomerSuccess,Opportunity Datasource,DIM_TIME
Rep Renewal Dashboard,NorthStar Reports - Prod Data,Rep Renewal Dashboard,RepRenewalDashboard_16869295699060/RepRenewalDashboard,Opportunity Datasource (Rep Renewal),DIM_TIME
PO Lifecycle Dashboard,Archive,Requisition Counts By Status,POLifecycleDashboard_16945859705850/RequisitionCountsByStatus,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard - Demo,Archive,Requisition Counts By Status,POLifecycleDashboard-Demo/RequisitionCountsByStatus,PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard,Archive,Requisition Counts By Status,POLifecycleDashboard_16952185765550/RequisitionCountsByStatus,PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard,Procurement UAT,Requisition Counts By Status,UAT-POLifecycleDashboard/RequisitionCountsByStatus,UAT - PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard,Procurement UAT,Requisition Counts By Status,UAT-POLifecycleDashboard/RequisitionCountsByStatus,UAT - PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard_New UI Version,Procurement UAT,Requisition Counts By Status,UAT-POLifecycleDashboard_NewUIVersion/RequisitionCountsByStatus,PO Lifecycle,DIM_TIME
UAT - PO Lifecycle Dashboard_Without DLS,Archive,Requisition Counts By Status,POLifecycleDashboard/RequisitionCountsByStatus,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,Requisition Details,POLifecycleDashboard_16966194832140/RequisitionDetails,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard,Procurement,Requisition Details,POLifecycleDashboard_16966194832140/RequisitionDetails,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,Requisition Details,POLifecycleDashboard-NewSecurity/RequisitionDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,Requisition Details,POLifecycleDashboard_WithSecurity_v2/RequisitionDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Archive,Requisition Details,POLifecycleDashboard_WithSecurity_v2/RequisitionDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard - New Security,Procurement Dev,Requisition Details,POLifecycleDashboard-NewSecurity/RequisitionDetails,PO Lifecycle - New Security,DIM_TIME
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,Requisition Details,POLifecycleDashboard_AllDataByCreationDate_16994576653310/RequisitionDetails,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,Requisition Details,POLifecycleDashboard_AllDataByCreationDate_16994576653310/RequisitionDetails,PO Lifecycle_All Data,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,Requisition Details,POLifecycleDashboard_WithSecurity/RequisitionDetails,PO Lifecycle,DIM_TIME
PO Lifecycle Dashboard_With Security,Archive,Requisition Details,POLifecycleDashboard_WithSecurity/RequisitionDetails,PO Lifecycle,DIM_TIME
Quarterly Support Review,Archive,Resolution Times ,QuarterlySupportReview_16885836149450/ResolutionTimes,Case Data Source (OLD),DIM_TIME
Quarterly Support Review,Archive,Resolution Times ,QuarterlySupportReview_16885836149450/ResolutionTimes,Case Data Source,DIM_TIME
Revenue Budget Vs Actuals,Archive,Revenue (Budget Vs Actuals),RevenueBudgetVsActuals/RevenueBudgetVsActuals,Budget Vs Actuals,DIM_TIME
Revenue - Periods-Customer & Products,Archive,Revenue Analytics (Peridos),Revenue-Periods-CustomerProducts/RevenueAnalyticsPeridos,GL-Revenue,DIM_TIME
Revenue Details,Archive,Revenue Periods-Customer-Product,RevenueDetails/RevenuePeriods-Customer-Product,Revenue Details,DIM_TIME
OTC Dashboard,Archive,Sales Orders,OTCDashboard/SalesOrders,Subscription (Orders),DIM_TIME
OTC Dashboard,Archive,"Sales Orders (Customer,Ctgry)",OTCDashboard/SalesOrdersCustomerCtgry,Subscription (Orders),DIM_TIME
OTC Dashboard,Archive,Sales Orders (Products),OTCDashboard/SalesOrdersProducts,Subscription (Orders),DIM_TIME
Global Customer Support Dashboard,Archive,Survey Score Relationships,GlobalCustomerSupportDashboard_16878943669060/SurveyScoreRelationships,Case Data Source,DIM_TIME
Global Customer Support Dashboard,Archive,Survey Score Relationships,GlobalCustomerSupportDashboard_16878943669060/SurveyScoreRelationships,Case Data Source (OLD),DIM_TIME
Global Customer Support Dashboard,Archive,Team Performance,GlobalCustomerSupportDashboard_16878943669060/TeamPerformance,Case Data Source,DIM_TIME
Global Customer Support Dashboard,Archive,Team Performance,GlobalCustomerSupportDashboard_16878943669060/TeamPerformance,Case Data Source (OLD),DIM_TIME
Global Incremental Forecast-Test,Sales Dev,Total,GlobalIncrementalForecast-test/Total,NS - Opportunity Datasource,DIM_TIME
Revenue - Periods-Customer & Products,Archive,Transaction Details,Revenue-Periods-CustomerProducts/TransactionDetails,GL-Revenue,DIM_TIME
Trends - Global Conversion Metrics,NorthStar Reports - Prod Data,Trends - Global Conversion Metrics,Trends-GlobalConversionMetrics_16869280860830/Trends-GlobalConversionMetrics,NS - Opportunity Datasource,DIM_TIME
Trends - Global Forecast Movement,NorthStar Reports - Prod Data,Trends - Global Forecast Movement,Trends-GlobalForecastMovement_16869012935600/Trends-GlobalForecastMovement,NS - Opportunity Snapshot Datasource,DIM_TIME
Trends - Global Forecast Movement,NorthStar Reports - Prod Data,Trends - Global Forecast Movement,Trends-GlobalForecastMovement_16869012935600/Trends-GlobalForecastMovement,Opportunity Snapshot Datasource,DIM_TIME
Trends - Global Pipeline Movement,NorthStar Reports - Prod Data,Trends - Global Pipeline Movement,Trends-GlobalPipelineMovement_16869026947090/Trends-GlobalPipelineMovement,NS - Opportunity Snapshot Datasource,DIM_TIME
