WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Main Page,ICPProject-OnlineVersion/Story,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Main Page,ICPProject-OnlineVersion/Story,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP - Draft Version,Marketing Dev,ICP - Opportunities,ICP-DraftVersion/ICP-Opportunities,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Opportunities,ICPProject-OnlineVersion/ICP-Opportunities,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Opportunities,ICPProject-OnlineVersion/ICP-Opportunities,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP - Draft Version,Marketing Dev,ICP - Opportunity Pivots,ICP-DraftVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Opportunity Pivots,ICPProject-OnlineVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Opportunity Pivots,ICPProject-OnlineVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,'BERND INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,'BERND INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,'BERND INDUSTRY$'
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,'BERND INDUSTRY$'
ICP Project - Online Version,Marketing,ICP - Main Page,ICPProject-OnlineVersion/Story,ICP Data Source - Online Version,'BERND INDUSTRY$'
